no.,volumn out parcel
282,仁愛段四小段57
283,陽明段一小段516
284,陽明段一小段516-1
285,陽明段一小段519
286,陽明段一小段520
287,陽明段一小段520-1
288,陽明段一小段523
289,陽明段一小段525
290,河堤段二小段223
291,臨沂段一小段203-1
292,仁愛段四小段6
293,仁愛段四小段6
294,辛亥段四小段357-1
295,辛亥段四小段357-2
296,辛亥段四小段363
297,辛亥段四小段363-1
298,海光段二小段387-1
299,福德段二小段529-4
300,福德段二小段529-5
301,福和段一小段127
302,懷生段三小段310
303,陽明段二小段265
304,陽明段二小段265-1
305,海光段一小段433
306,海光段一小段496
307,永新段三小段159
308,永新段三小段160
309,永新段三小段226
310,三玉段五小段160
311,三玉段五小段437-1
312,光華段四小段641
313,光華段四小段653
314,光華段四小段667
315,光華段四小段668
316,光華段四小段670
317,光華段四小段671
318,振興段三小段955
319,振興段三小段961-1
320,振興段四小段141-1
321,雙連段一小段99
322,橋北段三小段3
323,延平段一小段115
324,吉林段三小段844-2
325,吉林段三小段844-8
326,吉林段三小段845
327,吉林段三小段845-1
328,吉林段三小段845-2
329,中山段一小段1
330,中山段一小段1-1
331,中山段一小段1-2
332,中山段一小段1-6
333,中山段四小段213
334,北安段一小段90
335,虎林段四小段96
336,敦化段四小段245-1
337,民生段12-13
338,民生段12-16
339,民生段12-17
340,美仁段二小段895
341,興隆段一小段31
342,萬芳段二小段285
343,河堤段一小段311-1
344,榮星段五小段114
345,民生段27-22
346,民生段27-24
347,美仁段二小段895
348,陽明段一小段516
349,三興段一小段477
350,黎和段二小段563
351,迪化段三小段697
352,西松段一小段694
353,仁愛段二小段569
354,仁愛段三小段522
355,龍泉段三小段4-1
356,文林段三小段836-1
357,百齡段五小段140-2
358,福林段三小段784
359,大安段三小段35
360,仁愛段六小段82-1
361,通化段六小段61
362,復興段二小段192
363,復興段二小段71
364,復興段二小段74
365,懷生段二小段57
366,吉林段三小段121
367,吉林段三小段215
368,河堤段三小段683-1
369,文德段三小段277-1
370,文德段三小段282-1
371,景美段四小段605-2
372,文林段三小段853
373,文林段三小段864
374,關渡段二小段410
375,關渡段二小段423
376,寶清段三小段595
377,永春段三小段178-2
378,福興段三小段4
379,復興段一小段428-1
380,吉林段三小段45
381,三玉段五小段384
382,瑞安段二小段71
383,吉林段五小段70
384,西湖段二小段278
385,西湖段二小段278-1
386,福星段三小段4
387,福星段四小段435
388,仁愛段六小段139-3
389,懷生段一小段649
390,榮星段五小段479
391,德惠段四小段137
392,福德段三小段171
393,陽明段一小段516
394,陽明段一小段516-1
395,陽明段一小段519
396,陽明段一小段520
397,陽明段一小段520-1
398,陽明段一小段523
399,陽明段一小段525
400,永新段三小段110
401,永新段三小段112
402,永新段三小段114
403,永新段三小段459
404,仁愛段六小段166
405,正義段三小段90
406,正義段三小段92
407,正義段三小段458-1
408,正義段三小段459
409,陽明段三小段942
410,通化段六小段57
411,永新段三小段270
412,海光段二小段420
413,復興段二小段435
414,復興段三小段537
415,德惠段一小段155
416,萬芳段二小段308
417,萬隆段一小段351
418,萬隆段一小段351-1
419,興隆段一小段84
420,豐年段二小段793
421,豐年段三小段16-1
422,民生段12-13
423,民生段27-21
424,海光段一小段528
425,海光段二小段323
426,海光段三小段33
427,漢中段二小段967
428,陽明段一小段516
429,陽明段一小段516-1
430,陽明段一小段519
431,陽明段一小段520
432,陽明段一小段520-1
433,陽明段一小段523
434,陽明段一小段525
435,祥和段二小段444
436,萬芳段二小段308
437,玉成段三小段811
438,陽明段二小段263
439,正義段三小段89
440,仁愛段六小段281
441,西松段三小段366
442,寶清段一小段410
443,永吉段二小段194
444,福德段二小段112-1
445,德惠段二小段875
446,德惠段二小段875-1
447,德惠段四小段137-1
448,陽明段一小段516
449,陽明段一小段516-1
450,陽明段一小段519
451,陽明段一小段520
452,陽明段一小段520-1
453,陽明段一小段523
454,陽明段一小段525
455,中正段三小段105
456,陽明段一小段516
457,陽明段一小段516-1
458,陽明段一小段519
459,陽明段一小段520
460,陽明段一小段520-1
461,陽明段一小段523
462,陽明段一小段525
463,辛亥段五二小段1-1
464,復興段一小段63
465,瑞安段二小段71
466,懷生段一小段628
467,碧潭段三小段150-5
468,碧潭段三小段151-3
469,碧潭段三小段153-1
470,陽明段二小段70-1
471,榮星段四小段119
472,開明段二小段144
473,永春段一小段504
474,福德段三小段272
475,直興段三小段135
476,陽明段一小段516
477,陽明段一小段516-1
478,陽明段一小段519
479,陽明段一小段520
480,陽明段一小段520-1
481,陽明段一小段523
482,陽明段一小段525
483,南港段四小段393
484,南港段四小段441-2
485,文德段一小段49
486,蘭雅段三小段288
487,德惠段一小段61
488,榮星段二小段663-1
489,三玉段五小段213
490,開明段二小段567
491,開明段二小段633土
492,福林段一小段37-1
493,河堤段五小段614-1
494,臨沂段二小段410
495,永春段一小段598
496,永吉段一小段387
497,玉成段五小段704
498,仁愛段一小段498-1
499,復興段一小段18-5
500,復興段一小段20-5
501,復興段一小段629
502,榮星段四小段637-1
503,二小段520
504,永吉段二小段604
505,二小段240
506,雙園段一小段556
507,仁愛段二小段659
508,二小段389-1
509,圓環段三小段16
510,圓環段三小段55
511,圓環段二小段291
512,圓環段三小段49
513,臨沂段三小段583
514,臨沂段三小段583-3
515,臨沂段三小段583-5
516,臨沂段三小段583-6
517,臨沂段三小段583-7
518,臨沂段三小段583-8
519,萬華段一小段668
520,萬芳段二小段285
521,萬芳段二小段308
522,萬隆段一小段351
523,萬隆段一小段351-1
524,萬隆段一小段351-2
525,萬隆段一小段461
526,萬隆段一小段461-1
527,海光段一小段367
528,海光段一小段398
529,海光段一小段399
530,蘭雅段一小段699-4
531,蘭雅段一小段699-5
532,蘭雅段一小段699-21
533,蘭雅段一小段699-22
534,蘭雅段一小段699-23
535,陽明段二小段263
536,金華段一小段822
