no.,volumn out parcel
1242,延平段三小段289
1243,延平段三小段309-3
1244,延平段三小段666
1245,延平段三小段667
1246,延平段三小段667-1等3筆
1247,迪化段二小段437
1248,迪化段二小段438
1249,迪化段二小段438-1
1250,延平段二小段921
1251,延平段二小段921-1
1252,延平段二小段922
1253,延平段二小段922-1
1254,迪化段三小段467等三筆
1255,延平段二小段601-4
1256,延平段二小段247-1
1257,延平段二小段涼州街110-1至110-3
1258,延平段二小段112號）第一次容積移轉案
1259,延平段三小段162
1260,延平段三小段163
1261,延平段三小段163-1
1262,延平段三小段601
1263,延平段三小段602
1264,延平段三小段602-1等三筆
1265,迪化段二小段91
1266,迪化段二小段68號）第三次容積移轉案
1267,延平段三小段597
1268,延平段三小段597-1
1269,延平段三小段598
1270,延平段二小段445
1271,延平段二小段446
1272,延平段二小段446-1
1273,延平段二小段446-2
1274,延平段三小段597
1275,延平段三小段597-1
1276,延平段三小段598
1277,延平段二小段280
1278,延平段二小段281
1279,延平段二小段281-1
1280,延平段二小段284
1281,延平段二小段284-1
1282,延平段二小段284-2
1283,延平段二小段284-3
1284,延平段二小段921
1285,延平段二小段921-1
1286,延平段二小段922
1287,延平段二小段922-1
1288,延平段二小段62
1289,延平段二小段907
1290,延平段二小段908
1291,延平段二小段908-1
1292,延平段二小段908-2
1293,迪化段二小段133
1294,玉泉段一小段348
1295,玉泉段一小段151號-太和堂藥房）第二次容積移轉案
1296,延平段一小段217等
1297,迪化段三小段496
1298,迪化段二小段410
1299,迪化段二小段411號等2筆土
1300,迪化段三小段496
1301,延平段三小段256-1
1302,迪化段一小段613
1303,迪化段一小段614
1304,延平段三小段162
1305,延平段三小段163
1306,延平段三小段163-1
1307,延平段三小段599
1308,迪化段一小段613
1309,迪化段一小段614
1310,迪化段二小段437
1311,迪化段二小段438
1312,迪化段二小段438-1
1313,延平段二小段451
1314,延平段二小段ˋ452
1315,延平段二小段452-1
1316,延平段二小段452-2等四筆
1317,迪化段二小段91
1318,迪化段二小段92
1319,迪化段二小段93
1320,迪化段二小段94
1321,延平段三小段238
1322,延平段三小段238-1
1323,延平段三小段238-2
1324,延平段三小段239
1325,迪化段三小段471
1326,迪化段三小段472
1327,延平段二小段219
1328,延平段二小段230
1329,延平段三小段646
1330,迪化段二小段91
1331,迪化段二小段92
1332,迪化段二小段93
1333,迪化段二小段94
1334,迪化段二小段68號)第二次容積移轉案
1335,迪化段三小段181等五筆
1336,延平段二小段551
1337,延平段二小段552
1338,延平段二小段552-1
1339,迪化段二小段126
1340,延平段三小段238
1341,延平段三小段238-1
1342,延平段三小段238-2
1343,延平段三小段239
1344,延平段二小段379
1345,延平段二小段379-1
1346,延平段二小段380
1347,延平段二小段400
1348,延平段二小段400-1
1349,延平段二小段401
1350,延平段二小段401-1
1351,延平段二小段398
1352,延平段二小段398-1
1353,延平段二小段399
1354,延平段二小段399-1
1355,景美段五小段310
1356,景美段五小段379
1357,萬慶段二小段1
1358,德惠段四小段296
1359,陽明段四小段202
1360,漢中段二小段967
1361,臨沂段一小段657
1362,龍泉段三小段4
1363,文昌段一小段88
1364,文昌段一小段88-1
1365,文昌段一小段92-2
1366,文昌段一小段92-5
1367,文昌段一小段93
1368,文昌段一小段93-1
1369,文昌段一小段93-2
1370,文昌段一小段88
1371,文昌段一小段88-1
1372,文昌段一小段92-2
1373,文昌段一小段92-5
1374,文昌段一小段93
1375,文昌段一小段93-1
1376,文昌段一小段93-2
1377,延平段二小段843
1378,延平段二小段843-1
1379,延平段二小段844
1380,迪化段三小段316
1381,迪化段三小段316-1
1382,迪化段三小段317
1383,迪化段三小段100
1384,迪化段三小段101
1385,迪化段三小段479
1386,迪化段三小段480
1387,迪化段三小段477
1388,迪化段三小段478
1389,延平段二小段219
1390,延平段二小段163
1391,延平段二小段164
1392,延平段二小段164-2
1393,延平段二小段185
1394,延平段二小段186
1395,延平段二小段186-1
1396,延平段三小段586
1397,延平段三小段587
1398,延平段三小段587-1
1399,延平段三小段587-2
1400,延平段三小段588等5筆
1401,延平段三小段682
1402,延平段三小段683
1403,延平段三小段683-1
1404,迪化段三小段191-1
1405,迪化段三小段192-2
1406,迪化段二小段142
1407,迪化段二小段143
1408,迪化段二小段126
1409,迪化段二小段125
1410,迪化段三小段151
1411,迪化段三小段152
1412,迪化段三小段152-1
1413,迪化段三小段160
1414,迪化段三小段160-1
1415,迪化段三小段161
1416,延平段二小段843
1417,延平段二小段843-1
1418,延平段二小段844
1419,延平段二小段377
1420,延平段二小段378
1421,延平段二小段378-1
1422,延平段二小段402
1423,延平段二小段402-1
1424,迪化段三小段153
1425,迪化段三小段153-1
1426,迪化段三小段154
1427,延平段一小段710
1428,延平段一小段711
1429,延平段一小段726
1430,延平段一小段727
1431,延平段一小段728
1432,延平段一小段729
1433,延平段一小段730
1434,延平段一小段731
1435,延平段一小段732
1436,延平段一小段733
1437,延平段一小段734
1438,延平段一小段735
1439,延平段一小段736
1440,漢中段二小段967
1441,金華段二小段188
1442,金華段二小段189
1443,金華段二小段191
1444,金華段二小段197
1445,金華段二小段203-2
1446,迪化段一小段569
1447,迪化段一小段570
1448,延平段二小段185
1449,延平段二小段186
1450,延平段二小段186-1
1451,延平段三小段288
1452,延平段三小段288-1
1453,延平段三小段289
1454,延平段三小段309-3
1455,迪化段三小段473
1456,迪化段三小段474
1457,迪化段三小段477
1458,迪化段三小段478
1459,迪化段三小段485
1460,迪化段三小段486
1461,延平段二小段540
1462,延平段二小段541
1463,延平段二小段541-1
1464,延平段二小段542
1465,迪化段三小段181
1466,迪化段三小段181-1
1467,迪化段三小段182
1468,迪化段三小段182-1
1469,迪化段三小段182-2
1470,迪化段三小段479
1471,迪化段三小段480
1472,迪化段三小段100
1473,迪化段三小段101
1474,延平段三小段262
1475,延平段三小段263
1476,延平段三小段263-1
1477,迪化段三小段159
1478,迪化段三小段159-1
1479,延平段二小段540
1480,延平段二小段541
1481,延平段二小段541-1
1482,延平段二小段542
1483,延平段三小段586
1484,延平段三小段587
1485,延平段三小段587-1
1486,延平段三小段587-2
1487,延平段三小段588
1488,延平段二小段219
1489,延平段三小段581
1490,延平段三小段582
1491,延平段三小段582-1
1492,延平段三小段582-2
1493,迪化段三小段160
1494,迪化段三小段160-1
1495,迪化段三小段161等3筆
1496,迪化段三小段459
1497,迪化段三小段460
1498,迪化段三小段461
1499,延平段三小段601
1500,延平段三小段602
1501,延平段三小段602-1
1502,延平段二小段219
1503,金華段二小段188
1504,金華段二小段189
1505,金華段二小段191
1506,金華段二小段197
1507,金華段二小段203-2
1508,金華段二小段188
1509,金華段二小段189
1510,金華段二小段191
1511,金華段二小段197
1512,金華段二小段203-2
1513,金華段二小段188
1514,金華段二小段189
1515,金華段二小段191
1516,金華段二小段197
1517,金華段二小段203-2
1518,金華段二小段188
1519,金華段二小段189
1520,金華段二小段191
1521,金華段二小段197
1522,金華段二小段203-2
1523,福林段三小段772
1524,天母段一小段1-7
1525,木柵段四小段611
1526,光華段一小段4
1527,光華段一小段4
1528,天母段一小段107-3
1529,豐年段四小段170-1
1530,福林段三小段770
1531,中南段一小段323-2
1532,延平段二小段191
1533,延平段二小段191-1
1534,延平段二小段192等3筆
1535,延平三小段162
1536,延平三小段163
1537,延平三小段163-1等3筆土
1538,延平段二小段219等42筆
1539,三小段584
1540,三小段584-1
1541,三小段585
1542,三小段597
1543,三小段597-1
1544,三小段598
1545,三小段181
1546,三小段181-1
1547,三小段182
1548,三小段182-1
1549,三小段182-2
1550,二小段187
1551,二小段187-1
1552,二小段188
1553,二小段280
1554,二小段281
1555,二小段281-1
1556,二小段284
1557,二小段284-1
1558,二小段284-2
1559,二小段284-3
1560,二小段149
1561,二小段149-1
1562,二小段150
1563,三小段682
1564,三小段683
1565,三小段683-1
1566,三小段52
1567,三小段53
1568,三小段53-1
1569,三小段53-2
1570,三小段314
1571,三小段315
1572,三小段315-1
1573,二小段815
1574,二小段206
1575,二小段207
1576,二小段207-1
1577,二小段208
1578,二小段840
1579,二小段456
1580,二小段183
1581,二小段845
1582,一小段615等11筆土
1583,二小段864
1584,二小段199
1585,二小段864
1586,二小段447
1587,二小段197
1588,二小段187
1589,一小段615等11筆土
1590,三小段160
1591,三小段160-1
1592,三小段161
1593,三小段177
1594,三小段178
1595,三小段178-1
1596,三小段179
1597,三小段180
1598,三小段181
1599,三小段181-1
1600,三小段262
1601,三小段263
1602,三小段263-1
1603,三小段575
1604,三小段575-1
1605,三小段576
1606,迪化段一小段119
1607,迪化段一小段120等2筆
1608,迪化段一小段134
1609,迪化段一小段140-1
1610,迪化段三小段87
1611,迪化段三小段87-1
1612,迪化段三小段88等3筆
1613,迪化段二小段131
1614,迪化段二小段132
1615,三小段177
1616,三小段178
1617,三小段178-1
1618,三小段179
1619,三小段180
1620,三小段181
1621,三小段181-1
1622,迪化段二小段187
1623,迪化段二小段187-1
1624,迪化段二小段188
1625,迪化段一小段595
1626,"迪化段一小段""核准日期：098/04/10"""
1627,文昌段一小段88
1628,文昌段一小段88-1
1629,文昌段一小段92-2
1630,文昌段一小段92-5
1631,文昌段一小段93
1632,文昌段一小段93-1
1633,文昌段一小段93-2
1634,中南段一小段323-2
1635,文昌段一小段88
1636,文昌段一小段88-1
1637,文昌段一小段92-2
1638,文昌段一小段92-5
1639,文昌段一小段93
1640,文昌段一小段93-1
1641,文昌段一小段93-2
1642,文昌段一小段88
1643,文昌段一小段88-1
1644,文昌段一小段92-2
1645,文昌段一小段92-5
1646,文昌段一小段93
1647,文昌段一小段93-1
1648,文昌段一小段93-2
1649,延平段三小段608
1650,延平段三小段609
1651,延平段三小段609-1
1652,迪化段三小段185
1653,迪化段三小段185-1
1654,迪化段三小段186
1655,迪化段三小段186-1
1656,延平段三小段203
1657,延平段三小段205
1658,延平段三小段185-1
1659,延平段三小段187號
1660,延平段三小段安西街32
1661,延平段三小段34
1662,延平段三小段36號)
1663,延平段三小段551
1664,延平段三小段551-1
1665,延平段三小段552
1666,延平段三小段552-1
1667,迪化段三小段408
1668,迪化段三小段408-1
1669,迪化段三小段409
1670,迪化段三小段410
1671,迪化段三小段410-1
1672,迪化段三小段411
1673,迪化段三小段412
1674,迪化段三小段413
1675,迪化段三小段414
1676,迪化段三小段10號)
1677,迪化段一小段595
1678,迪化段一小段596
1679,迪化段一小段597
1680,迪化段一小段598
1681,迪化段一小段611
1682,迪化段一小段612
1683,迪化段一小段9
1684,迪化段一小段9-1號
1685,迪化段三小段185
1686,迪化段三小段185-1
1687,迪化段三小段186
1688,迪化段三小段186-1
1689,迪化段二小段187
1690,迪化段二小段187-1
1691,迪化段二小段188
1692,延平段二小段443
1693,延平段二小段443-1
1694,延平段二小段443-2
1695,延平段二小段444
1696,延平段二小段444-1
1697,金華段二小段188
1698,金華段二小段189
1699,金華段二小段191
1700,金華段二小段197
1701,金華段二小段203-2
1702,金華段二小段188
1703,金華段二小段189
1704,金華段二小段191
1705,金華段二小段197
1706,金華段二小段203-2
1707,金華段二小段188
1708,金華段二小段189
1709,金華段二小段191
1710,金華段二小段197
1711,金華段二小段203-2
1712,迪化段一小段569
1713,迪化段一小段570
1714,迪化段595
1715,迪化段596
1716,迪化段597
1717,迪化段598
1718,迪化段611
1719,迪化段612
1720,迪化段9
1721,迪化段9-1號
1722,迪化段一小段68-1
1723,迪化段一小段69
1724,迪化段一小段70
1725,迪化段一小段314號
1726,延平段二小段813
1727,延平段二小段825
1728,延平段二小段825-1
1729,延平段二小段826
1730,延平段二小段827
1731,延平段二小段828
1732,延平段二小段828-1
1733,延平段二小段829
1734,延平段二小段831
1735,延平段二小段832
1736,延平段二小段833
1737,延平段二小段834
1738,延平段二小段221號)
1739,金華段二小段188
1740,金華段二小段189
1741,金華段二小段191
1742,金華段二小段197
1743,金華段二小段203-2
1744,金華段二小段188
1745,金華段二小段189
1746,金華段二小段191
1747,金華段二小段197
1748,金華段二小段203-2
1749,迪化段二小段164
1750,迪化段二小段165
1751,迪化段二小段380號)
1752,迪化段二小段162
1753,迪化段二小段163
1754,延平段二小段151
1755,延平段二小段152
1756,延平段二小段152-1等3筆
1757,迪化段三小段183
1758,迪化段三小段183-1
1759,迪化段三小段184
1760,迪化段三小段184-1等4筆
1761,金華段二小段188
1762,金華段二小段189
1763,金華段二小段191
1764,金華段二小段197
1765,金華段二小段203-2
1766,金華段二小段188
1767,金華段二小段189
1768,金華段二小段191
1769,金華段二小段197
1770,金華段二小段203-2
1771,金華段二小段188
1772,金華段二小段189
1773,金華段二小段191
1774,金華段二小段197
1775,金華段二小段203-2
1776,金華段二小段188
1777,金華段二小段189
1778,金華段二小段191
1779,金華段二小段197
1780,金華段二小段203-2
1781,延平段二小段823
1782,延平段二小段824
1783,延平段二小段824-1
1784,延平段二小段191
1785,延平段二小段191-1
1786,延平段二小段192
1787,迪化段三小段58
1788,迪化段三小段58-1
1789,迪化段三小段58-2
1790,迪化段三小段59等4筆
1791,迪化段三小段58
1792,迪化段三小段58-1
1793,迪化段三小段58-2
1794,迪化段三小段59等4筆
1795,延平段二小段813
1796,延平段二小段825
1797,延平段二小段825-1
1798,延平段二小段826
1799,延平段二小段827
1800,延平段二小段828
1801,延平段二小段828-1
1802,延平段二小段829
1803,延平段二小段831
1804,延平段二小段832
1805,延平段二小段833
1806,延平段二小段834
1807,延平段二小段221號)
1808,迪化段一小段569
1809,迪化段一小段570等2筆
1810,南港段一小段384-2
1811,南港段一小段404-1
1812,南港段一小段405
1813,南港段一小段406-8
1814,南港段一小段407-3
1815,南港段一小段407-4
1816,南港段一小段524-2
1817,南港段一小段525-1
1818,南港段一小段525-2
1819,南港段一小段532
1820,南港段一小段533等11筆
1821,延平段三小段666
1822,延平段三小段667
1823,延平段三小段667-1
1824,延平段二小段161
1825,延平段二小段161-1
1826,延平段二小段162
1827,迪化段三小段160
1828,迪化段三小段160-1
1829,迪化段三小段161
1830,迪化段三小段56-1號)
1831,延平段二小段145
1832,延平段二小段146
1833,延平段二小段146-1
1834,迪化段三小段157
1835,迪化段三小段157-1
1836,迪化段三小段158
1837,金華段二小段188
1838,金華段二小段189
1839,金華段二小段191
1840,金華段二小段197
1841,金華段二小段203-2
1842,延平段三小段186
1843,延平段三小段187
1844,延平段三小段187-1
1845,延平段三小段187-2
1846,延平段三小段187-3
1847,延平段三小段188
1848,延平段三小段190-1
1849,延平段三小段安西街18號
1850,延平段三小段安西街20之1號)
1851,迪化段二小段128
1852,延平段三小段581
1853,延平段三小段582
1854,延平段三小段582-1
1855,延平段三小段582-2
1856,延平段二小段543
1857,延平段二小段544
1858,延平段二小段544-1
1859,延平段二小段544-2
1860,延平段二小段508
1861,延平段二小段509-1
1862,延平段二小段509
1863,延平段二小段510
1864,二小段543
1865,二小段544
1866,二小段544-1
1867,二小段544-2
1868,迪化段一小段134
1869,迪化段一小段140-1等2筆
1870,延平段二小段456
1871,延平段二小段456-1
1872,延平段二小段456-2
1873,延平段二小段457
1874,二小段915
1875,二小段916
1876,二小段916-1
1877,二小段916-2
1878,延平段二小段857
1879,延平段二小段857-1
1880,延平段二小段858
1881,延平段二小段安西街82號）
1882,延平段三小段646
1883,延平段三小段646-1
1884,延平段三小段647
1885,延平段三小段581
1886,延平段三小段582
1887,延平段三小段582-1
1888,延平段三小段582-2
1889,延平段三小段577
1890,延平段三小段578-1
1891,延平段三小段578-2
1892,延平段三小段168
1893,延平段三小段169
1894,延平段三小段169-1
1895,延平段三小段169-2
1896,延平段二小段454
1897,延平段二小段454-1
1898,延平段二小段454-2
1899,延平段二小段455
1900,延平段二小段551
1901,延平段二小段552
1902,延平段二小段552-1
1903,延平段二小段857
1904,延平段二小段857-1
1905,延平段二小段858
1906,延平段二小段安西街82號)
1907,延平段三小段208
1908,延平段三小段208-1
1909,延平段三小段209
1910,延平段三小段174
1911,延平段三小段175
1912,延平段三小段175-1
1913,延平段三小段176
1914,延平段三小段安西街10號)
1915,延平段二小段838
1916,延平段二小段838-1
1917,延平段二小段839等3筆
1918,延平段三小段696
1919,延平段三小段696-1
1920,延平段三小段697
1921,延平段三小段564
1922,延平段三小段565
1923,延平段三小段565-2
1924,迪化段二小段201
1925,迪化段二小段202
1926,迪化段二小段202-1
1927,迪化段二小段203
1928,迪化段二小段民生西路362巷28號)
1929,延平段三小段162
1930,延平段三小段163
1931,延平段三小段163-1
1932,延平段二小段861
1933,延平段二小段861-1
1934,延平段二小段862等3筆
1935,延平段三小段694
1936,延平段三小段695
1937,延平段三小段695-1
1938,延平段三小段694
1939,延平段三小段695
1940,延平段三小段695-1
1941,延平段三小段280
1942,延平段三小段280-1
1943,延平段三小段281
1944,延平段三小段282
1945,延平段三小段283
1946,延平段三小段283-1
1947,延平段三小段283-2
1948,迪化段二小段201
1949,迪化段二小段202
1950,迪化段二小段202-1
1951,迪化段二小段203等4筆
1952,迪化段二小段民生西路362巷28號)
1953,延平段三小段286
1954,延平段三小段287
1955,延平段三小段287-1等3筆
1956,迪化段二小段209
1957,迪化段二小段210
1958,迪化段二小段210-1
1959,迪化段二小段211等4筆
1960,迪化街三小段183
1961,迪化街三小段183-1
1962,迪化街三小段184
1963,迪化街三小段184-1等4筆
1964,延平段三小段162
1965,延平段三小段163
1966,延平段三小段163-1
1967,延平段三小段290
1968,延平段三小段291
1969,延平段三小段291-1
1970,延平段三小段309-4
1971,延平段三小段290
1972,延平段三小段291
1973,延平段三小段291-1
1974,延平段三小段309-4
1975,信義段二小段113
1976,信義段二小段附件下載
1977,信義段二小段113
1978,信義段二小段附件下載
1979,延平段三小段208
1980,延平段三小段208-1
1981,延平段三小段209
1982,延平段二小段861
1983,延平段二小段861-1
1984,延平段二小段862等3筆
1985,延平段二小段540
1986,延平段二小段541
1987,延平段二小段541-1
1988,延平段二小段542
1989,延平段三小段197
1990,延平段三小段198-1
1991,延平段三小段198-2等3筆
1992,延平段三小段193
1993,延平段三小段194
1994,延平段三小段194-2等3筆
1995,延平段三小段186
1996,延平段三小段187
1997,延平段三小段187-1
1998,延平段三小段187-2
1999,延平段三小段安西街20之1號)
2000,延平段三小段601
2001,延平段三小段602
2002,延平段三小段602-1等3筆
2003,延平段三小段203
2004,延平段三小段203-1
2005,延平段三小段204
2006,延平段三小段205
2007,延平段三小段206
2008,延平段三小段206-1
2009,延平段三小段207
2010,延平段三小段185-1
2011,延平段三小段187號
2012,延平段三小段安西街32
2013,延平段三小段34
2014,延平段三小段36號)
2015,延平段三小段203
2016,延平段三小段203-1
2017,延平段三小段204
2018,延平段三小段205
2019,延平段三小段206
2020,延平段三小段206-1
2021,延平段三小段207
2022,延平段三小段185-1
2023,延平段三小段187號
2024,延平段三小段安西街32
2025,延平段三小段34
2026,延平段三小段36號)
2027,延平段二小段189
2028,延平段二小段190-1
2029,延平段二小段190
2030,延平段二小段189
2031,延平段二小段190-1
2032,延平段二小段190
2033,延平段二小段468
2034,延平段二小段468-1
2035,延平段二小段469
2036,延平段二小段469-1
2037,延平段二小段472
2038,延平段二小段473
2039,延平段二小段474
2040,延平段二小段475
2041,延平段二小段51
2042,延平段二小段53
2043,延平段二小段55號)
2044,延平段二小段468
2045,延平段二小段468-1
2046,延平段二小段469
2047,延平段二小段469-1
2048,延平段二小段472
2049,延平段二小段473
2050,延平段二小段474
2051,延平段二小段475
2052,延平段二小段51
2053,延平段二小段53
2054,延平段二小段55號)
2055,迪化段二小段197
2056,迪化段二小段197-1
2057,迪化段二小段197-2
2058,迪化段二小段198
2059,美仁段一小段701-1
2060,美仁段一小段704-1
2061,迪化段二小段187
2062,迪化段二小段187-1
2063,迪化段二小段188
2064,延平段三小段682
2065,延平段三小段683
2066,延平段三小段683-1
2067,延平段二小段371
2068,延平段二小段371-1
2069,延平段二小段371-2
2070,延平段二小段372
2071,延平段二小段403
2072,路1段393號)
2073,延平段二小段498
2074,延平段二小段499
2075,延平段二小段500
2076,延平段二小段500-1
2077,延平段二小段501
2078,延平段二小段502
2079,延平段二小段503
2080,延平段二小段503-1
2081,延平段二小段504
2082,延平段二小段261號
2083,延平段二小段安西街100
2084,延平段二小段102號)
2085,延平段三小段688
2086,延平段三小段688-1
2087,延平段三小段689
2088,延平段三小段741-6等4筆
2089,延平段二小段498
2090,延平段二小段499
2091,延平段二小段500
2092,延平段二小段500-1
2093,延平段二小段501
2094,延平段二小段502
2095,延平段二小段503
2096,延平段二小段503-1
2097,延平段二小段504等9筆
2098,延平段二小段261號
2099,延平段二小段安西街100
2100,延平段二小段102號)
2101,金華段一小段146
2102,金華段一小段228
2103,金華段一小段230
2104,金華段一小段232
2105,金華段一小段234號
2106,1段224巷1
2107,1段3
2108,1段5號移入)
2109,延平段三小段581
2110,延平段三小段582
2111,延平段三小段582-1
2112,延平段三小段582-2
2113,迪化段三小段46
2114,迪化段三小段46-1
2115,迪化段三小段46-2
2116,迪化段三小段47
2117,迪化段二小段166
2118,迪化段二小段166-2
2119,迪化段二小段167
2120,迪化段二小段167-1
2121,迪化段二小段民生東路382號)
2122,迪化段二小段194
2123,迪化段二小段195
2124,迪化段二小段195-1
2125,延平段三小段583
2126,延平段三小段62-1號)
2127,延平段二小段813
2128,延平段二小段814
2129,延平段二小段825
2130,延平段二小段825-1
2131,延平段二小段826
2132,延平段二小段827
2133,延平段二小段828
2134,延平段二小段828-1
2135,延平段二小段829
2136,延平段二小段830
2137,延平段二小段831
2138,延平段二小段832
2139,延平段二小段833
2140,延平段二小段834
2141,延平段二小段221號)
2142,延平段二小段813
2143,延平段二小段814
2144,延平段二小段825
2145,延平段二小段825-1
2146,延平段二小段826
2147,延平段二小段827
2148,延平段二小段828
2149,延平段二小段828-1
2150,延平段二小段829
2151,延平段二小段830
2152,延平段二小段831
2153,延平段二小段832
2154,延平段二小段833
2155,延平段二小段834
2156,延平段二小段221號)
2157,迪化段二小段175
2158,迪化段二小段175-1
2159,迪化段二小段176
2160,延平段三小段199-1
2161,延平段三小段199-2
2162,延平段三小段200
2163,延平段三小段201
2164,延平段三小段202
2165,延平段三小段202-1
2166,延平段三小段202-2
2167,延平段三小段202-3
2168,延平段三小段183
2169,延平段三小段安西街30號)
2170,延平段二小段506
2171,延平段二小段506-1
2172,延平段二小段507等4筆
2173,延平段二小段578
2174,延平段二小段578-1
2175,延平段二小段578-2等3筆
2176,延平段二小段157
2177,延平段二小段158
2178,延平段二小段158-1等3筆
2179,延平段二小段506
2180,延平段二小段506-1
2181,延平段二小段507等3筆
2182,延平段三小段698
2183,延平段三小段699
2184,延平段三小段699-1
2185,延平段三小段203
2186,延平段三小段203-1
2187,延平段三小段204
2188,延平段三小段205
2189,延平段三小段206
2190,延平段三小段206-1
2191,延平段三小段207
2192,延平段三小段185-1
2193,延平段三小段187號
2194,延平段三小段安西街32
2195,延平段三小段34
2196,延平段三小段36號)
2197,延平段三小段597
2198,延平段三小段597-1
2199,延平段三小段598等3筆
2200,延平段三小段236
2201,延平段三小段237
2202,延平段三小段237-1等3筆
2203,延平段三小段193
2204,延平段三小段194
2205,延平段三小段194-2等3筆
2206,延平段三小段195-1
2207,延平段三小段195-2
2208,延平段三小段196等3筆
2209,延平段二小段540
2210,延平段二小段541
2211,延平段二小段541-1
2212,延平段二小段542等4筆
2213,延平段二小段451
2214,延平段二小段452
2215,延平段二小段452-1
2216,延平段二小段452-2等4筆
2217,延平段二小段451
2218,延平段二小段452
2219,延平段二小段452-1
2220,延平段二小段452-2等4筆
2221,延平段二小段574
2222,延平段三小段197
2223,延平段三小段198-1
2224,延平段三小段198-2等3筆
2225,延平段2小段506
2226,延平段2小段506-1
2227,延平段2小段507等3筆
2228,延平段三小段186
2229,延平段三小段187
2230,延平段三小段187-1
2231,延平段三小段187-2等4筆
2232,延平段三小段安西街20之1號)
2233,延平段三小段191
2234,延平段三小段191-1
2235,延平段三小段192等3筆
2236,南港段一小段560-3
2237,南港段一小段560-5
2238,南港段一小段504-1
2239,南港段一小段507-3
2240,延平段二小段547
2241,延平段二小段548
2242,延平段二小段548-1
2243,迪化段三小段87
2244,迪化段三小段87-1
2245,迪化段三小段88
2246,延平段三小段168
2247,延平段三小段169
2248,延平段三小段169-1
2249,延平段三小段169-2
2250,三小段688
2251,三小段688-1
2252,三小段689
2253,三小段741-6
2254,延平段三小段168
2255,延平段三小段169
2256,延平段三小段169-1
2257,延平段三小段169-2
2258,延平段三小段186
2259,延平段三小段187
2260,延平段三小段187-1
2261,延平段三小段187-2
2262,延平段三小段安西街20之1號
2263,延平段三小段193
2264,延平段三小段194
2265,延平段三小段194-2
2266,迪化段三小段42
2267,迪化段三小段42-1
2268,迪化段三小段42-2
2269,迪化段三小段43
2270,延平段三小段664
2271,延平段三小段664-1
2272,延平段三小段665
2273,延平段三小段182
2274,延平段三小段183
2275,延平段三小段184
2276,延平段三小段184-1
2277,延平段三小段185
2278,延平段三小段601
2279,延平段三小段602
2280,延平段三小段602-1
2281,延平段二小段494
2282,延平段二小段494-1
2283,延平段二小段495
2284,延平段三小段586
2285,延平段三小段587
2286,延平段三小段587-1
2287,延平段三小段587-2
2288,延平段三小段588等5筆
2289,延平段三小段584
2290,延平段三小段584-1
2291,延平段三小段585
2292,延平段三小段584
2293,延平段三小段584-1
2294,延平段三小段585
2295,延平段三小段584
2296,延平段三小段584-1
2297,延平段三小段585
2298,延平段三小段584
2299,延平段三小段584-1
2300,延平段三小段585
2301,延平段三小段166
2302,延平段三小段166-1
2303,延平段三小段167
2304,延平段三小段附件下載
2305,迪化段三小段52
2306,迪化段三小段53
2307,迪化段三小段53-1
2308,迪化段三小段53-2
2309,迪化段三小段附件下載
2310,延平段二小段543
2311,延平段二小段544
2312,延平段二小段544-1
2313,延平段二小段附件下載
2314,迪化段三小段52
2315,迪化段三小段53
2316,迪化段三小段53-1
2317,迪化段三小段53-2
2318,迪化段三小段附件下載
2319,延平段三小段568
2320,延平段三小段568-1
2321,延平段三小段569
2322,延平段三小段570
2323,延平段三小段571
2324,延平段三小段571-1
2325,延平段三小段572等7筆
2326,延平段三小段附件下載
2327,延平段三小段568
2328,延平段三小段568-1
2329,延平段三小段569
2330,延平段三小段570
2331,延平段三小段571
2332,延平段三小段571-1
2333,延平段三小段572等7筆
2334,延平段三小段115號
2335,延平段三小段191
2336,延平段三小段191-1
2337,延平段三小段192等3筆
2338,延平段三小段197
2339,延平段三小段198-1
2340,延平段三小段198-2等3筆
2341,延平段三小段195-1
2342,延平段三小段195-2
2343,延平段三小段196等三筆
2344,迪化段三小段42
2345,迪化段三小段42-1
2346,迪化段三小段42-2
2347,迪化段三小段43等4筆
2348,延平段三小段229
2349,延平段三小段232
2350,延平段三小段233
2351,延平段三小段233-1
2352,延平段三小段234
2353,延平段三小段234-1
2354,延平段三小段235等七筆
2355,延平段三小段229
2356,延平段三小段232
2357,延平段三小段233
2358,延平段三小段233-1
2359,延平段三小段234
2360,延平段三小段234-1
2361,延平段三小段235等七筆
2362,延平段三小段583等一筆
2363,延平段三小段583等一筆
2364,延平段三小段583等一筆
2365,南海段三小段635等一筆
2366,南海段三小段635等一筆
2367,南海段三小段316
2368,南海段三小段318
2369,南海段三小段320
2370,南海段三小段322
2371,南海段三小段324
2372,南海段三小段326
2373,南海段三小段328
2374,南海段三小段330
2375,南海段三小段332號
2376,南海段三小段312巷1
2377,南海段三小段35號
2378,延平段二小段549
2379,延平段二小段549-1
2380,延平段二小段550等三筆
2381,迪化段一小段134
2382,迪化段一小段135
2383,迪化段一小段136
2384,迪化段一小段137
2385,迪化段一小段138
2386,迪化段一小段139
2387,迪化段一小段140
2388,迪化段一小段140-1
2389,迪化段一小段141
2390,迪化段一小段142
2391,迪化段一小段143
2392,迪化段一小段144
2393,迪化段一小段145
2394,迪化段一小段155-3等十四筆
2395,迪化段一小段65號
2396,迪化段一小段61巷3號
2397,延平段二小段494
2398,延平段二小段494-1
